percent_time_head_above_water,longest_time_head_underwater,average_forward_velocity,episode_duration,terminated,truncated,unstable,episode
27.6,18.1,0.03417211059927302,25.0,False,True,False,0
26.0,18.5,0.0341820165293163,25.0,False,True,False,1
24.8,18.7,0.03295295909357002,25.0,False,True,False,2
25.2,18.650000000000002,0.03409961579479804,25.0,False,True,False,3
23.0,19.150000000000002,0.03401303731616631,25.0,False,True,False,4
27.6,18.1,0.03329830640756066,25.0,False,True,False,5
22.2,19.35,0.02579743388918969,25.0,False,True,False,6
22.6,19.200000000000003,0.0328322138511351,25.0,False,True,False,7
26.8,18.3,0.0336799493629142,25.0,False,True,False,8
28.6,17.85,0.033511067968705094,25.0,False,True,False,9
27.0,18.25,0.03254558540578416,25.0,False,True,False,10
22.2,19.35,0.02852176562848941,25.0,False,True,False,11
25.6,18.6,0.027253591565883677,25.0,False,True,False,12
26.2,18.400000000000002,0.034524216058381275,25.0,False,True,False,13
28.0,18.0,0.03279874568059768,25.0,False,True,False,14
28.6,17.85,0.03349210915426501,25.0,False,True,False,15
26.8,18.3,0.02391580856000777,25.0,False,True,False,16
22.0,19.35,0.03354968656746853,25.0,False,True,False,17
28.8,17.8,0.03273626683806619,25.0,False,True,False,18
28.8,17.8,0.03233265968423845,25.0,False,True,False,19
25.6,18.6,0.02453662982825223,25.0,False,True,False,20
25.8,18.5,0.03239180283372421,25.0,False,True,False,21
23.8,18.95,0.03416268415536723,25.0,False,True,False,22
25.2,18.7,0.025427383198456534,25.0,False,True,False,23
26.4,18.400000000000002,0.025133669269316598,25.0,False,True,False,24
22.0,19.35,0.03389674055143808,25.0,False,True,False,25
28.6,17.85,0.0338806095479768,25.0,False,True,False,26
29.2,17.7,0.0338611359550705,25.0,False,True,False,27
27.0,18.25,0.033559293715084246,25.0,False,True,False,28
23.2,19.1,0.034196783013659166,25.0,False,True,False,29
25.0,18.650000000000002,0.032916637080667714,25.0,False,True,False,30
26.2,18.400000000000002,0.034283099813232715,25.0,False,True,False,31
27.0,18.25,0.03358359937504688,25.0,False,True,False,32
24.8,18.8,0.0260723722599614,25.0,False,True,False,33
19.4,19.950000000000003,0.023123874011549687,25.0,False,True,False,34
21.8,19.450000000000003,-0.03999150291184042,25.0,False,True,False,35
23.4,19.0,0.03296211037636391,25.0,False,True,False,36
29.0,17.75,0.03242151499832111,25.0,False,True,False,37
27.6,18.1,0.03259935985149671,25.0,False,True,False,38
25.6,18.55,0.03441782898200155,25.0,False,True,False,39
23.4,19.1,0.026323962869467896,25.0,False,True,False,40
26.2,18.45,0.023455925459834416,25.0,False,True,False,41
26.8,18.3,0.03764953678143536,25.0,False,True,False,42
21.8,19.400000000000002,0.03285697737061425,25.0,False,True,False,43
27.6,18.1,0.03280546365653827,25.0,False,True,False,44
22.6,19.25,0.02530716130863687,25.0,False,True,False,45
22.2,19.35,0.037253160735876645,25.0,False,True,False,46
24.8,18.7,0.034973160221271615,25.0,False,True,False,47
21.8,19.450000000000003,0.026683167614560042,25.0,False,True,False,48
28.2,17.95,0.03358842242951693,25.0,False,True,False,49
22.2,19.3,0.033284597845533566,25.0,False,True,False,50
25.6,18.6,0.03409980793449426,25.0,False,True,False,51
24.0,18.900000000000002,0.03351769225742033,25.0,False,True,False,52
26.6,18.35,0.03389834303809661,25.0,False,True,False,53
24.2,18.85,0.03401597821507286,25.0,False,True,False,54
28.0,18.0,0.03278291850922608,25.0,False,True,False,55
25.8,18.5,0.03248232062672874,25.0,False,True,False,56
27.0,18.25,0.03271441304120994,25.0,False,True,False,57
20.6,19.700000000000003,0.0362995566798785,25.0,False,True,False,58
22.2,19.3,0.03267608986157398,25.0,False,True,False,59
22.6,19.25,0.028540818705744004,25.0,False,True,False,60
27.8,18.05,0.03256465211974961,25.0,False,True,False,61
22.8,19.200000000000003,0.03412835671799485,25.0,False,True,False,62
19.6,19.950000000000003,-0.028049797317616944,25.0,False,True,False,63
28.8,17.8,0.0337657673967697,25.0,False,True,False,64
22.6,19.200000000000003,0.033124808537770806,25.0,False,True,False,65
25.0,18.650000000000002,0.03301359306825855,25.0,False,True,False,66
26.0,18.45,0.03281329420881463,25.0,False,True,False,67
23.8,19.05,0.027952664466998765,25.0,False,True,False,68
25.8,18.5,0.033255008604038384,25.0,False,True,False,69
21.2,19.55,0.02616602680963493,25.0,False,True,False,70
22.2,19.3,0.03310672609762875,25.0,False,True,False,71
24.2,18.85,0.03434788851095766,25.0,False,True,False,72
25.8,18.55,0.02330849056656909,25.0,False,True,False,73
24.8,18.7,0.0329453803619459,25.0,False,True,False,74
27.2,18.2,0.03378387659872119,25.0,False,True,False,75
26.8,18.3,0.03408171811455334,25.0,False,True,False,76
23.0,19.1,0.03279183018671816,25.0,False,True,False,77
23.6,19.05,0.031212397396084463,25.0,False,True,False,78
26.6,18.35,0.033586925665568985,25.0,False,True,False,79
22.2,19.35,0.025707441144710845,25.0,False,True,False,80
26.4,18.400000000000002,0.034017091127152815,25.0,False,True,False,81
24.6,18.75,0.03442477179975841,25.0,False,True,False,82
22.8,19.150000000000002,0.033120780468508464,25.0,False,True,False,83
27.6,18.1,0.03418629672677813,25.0,False,True,False,84
20.8,19.6,0.03295401423059058,25.0,False,True,False,85
25.8,18.5,0.034369077339980854,25.0,False,True,False,86
28.4,17.900000000000002,0.03227018200136766,25.0,False,True,False,87
27.0,18.25,0.03418519364648832,25.0,False,True,False,88
28.0,18.0,0.03235098774820724,25.0,False,True,False,89
21.2,19.5,0.0331957633267235,25.0,False,True,False,90
23.0,19.150000000000002,0.034176509792615654,25.0,False,True,False,91
30.2,17.45,0.03239028395144607,25.0,False,True,False,92
23.6,18.95,0.03329231131570856,25.0,False,True,False,93
26.2,18.400000000000002,0.03285184576219739,25.0,False,True,False,94
22.2,19.35,0.022355851238188142,25.0,False,True,False,95
26.2,18.400000000000002,0.033188492970195146,25.0,False,True,False,96
22.6,19.25,0.023543435849602355,25.0,False,True,False,97
27.4,18.150000000000002,0.033835708921223805,25.0,False,True,False,98
25.6,18.6,0.03405669511281241,25.0,False,True,False,99
