percent_time_head_above_water,longest_time_head_underwater,average_forward_velocity,episode_duration,terminated,truncated,unstable,episode
2.8,24.3,0.031099570198052758,25.0,False,True,False,0
1.4,24.6,0.03776255048906742,25.0,False,True,False,1
1.2,24.650000000000002,0.04498016608486174,25.0,False,True,False,2
1.0,24.650000000000002,0.02963255851433138,25.0,False,True,False,3
1.8,24.55,0.03653813629542998,25.0,False,True,False,4
2.6,24.35,0.03378191296760839,25.0,False,True,False,5
1.4,24.6,0.03153212324283497,25.0,False,True,False,6
2.6,24.35,0.05148532222481826,25.0,False,True,False,7
0.8,24.650000000000002,0.030993582640995332,25.0,False,True,False,8
2.4,24.400000000000002,0.03526611671270486,25.0,False,True,False,9
1.8,24.55,0.03850235501685675,25.0,False,True,False,10
2.2,24.450000000000003,0.03221193068729542,25.0,False,True,False,11
2.0,24.5,0.0326148277599546,25.0,False,True,False,12
2.6,24.35,0.03700074289505175,25.0,False,True,False,13
1.4,24.6,0.03491623282358426,25.0,False,True,False,14
2.0,24.5,0.031248964801348346,25.0,False,True,False,15
1.8,24.55,0.030535653625218588,25.0,False,True,False,16
1.4,24.6,0.03211172629265226,25.0,False,True,False,17
1.4,24.6,0.028696498159327045,25.0,False,True,False,18
2.6,24.35,0.0302731604940448,25.0,False,True,False,19
2.2,24.450000000000003,0.04134346700661218,25.0,False,True,False,20
1.2,24.650000000000002,0.032372160292336305,25.0,False,True,False,21
2.0,24.5,0.04106401510797892,25.0,False,True,False,22
2.4,24.400000000000002,0.05502795458963669,25.0,False,True,False,23
2.6,24.35,0.0625397507767187,25.0,False,True,False,24
2.4,24.400000000000002,0.033097312863248816,25.0,False,True,False,25
1.4,24.6,0.03267171635575141,25.0,False,True,False,26
1.4,24.6,0.03074249511387665,25.0,False,True,False,27
1.4,24.6,0.031020519545567542,25.0,False,True,False,28
1.6,24.55,0.03343354570670946,25.0,False,True,False,29
1.0,24.650000000000002,0.03437992161004226,25.0,False,True,False,30
2.2,24.450000000000003,0.03059804874360692,25.0,False,True,False,31
1.0,24.650000000000002,0.028664178586998008,25.0,False,True,False,32
1.8,24.55,0.033925535583617654,25.0,False,True,False,33
2.4,24.400000000000002,0.03546867667573548,25.0,False,True,False,34
1.0,24.650000000000002,0.03479576589478398,25.0,False,True,False,35
2.0,24.5,0.0690768516428698,25.0,False,True,False,36
1.6,24.6,0.030078168873607616,25.0,False,True,False,37
1.2,24.650000000000002,0.028702709741126604,25.0,False,True,False,38
2.4,24.400000000000002,0.03077304659033272,25.0,False,True,False,39
2.0,24.5,0.036180645283497806,25.0,False,True,False,40
2.0,24.5,0.030591492326707118,25.0,False,True,False,41
1.8,24.55,0.03190179528601619,25.0,False,True,False,42
1.0,24.650000000000002,0.03180129862271381,25.0,False,True,False,43
2.2,24.450000000000003,0.030593332450123325,25.0,False,True,False,44
7.2,22.650000000000002,0.046693289970910545,25.0,False,True,False,45
1.8,24.55,0.03409832737657926,25.0,False,True,False,46
2.2,24.450000000000003,0.03298195183416389,25.0,False,True,False,47
1.6,24.55,0.02894371111486298,25.0,False,True,False,48
1.8,24.55,0.03223124393860249,25.0,False,True,False,49
1.8,24.55,0.030760748922535833,25.0,False,True,False,50
0.6,24.650000000000002,0.03152723749481513,25.0,False,True,False,51
1.4,24.6,0.03269377087746505,25.0,False,True,False,52
2.0,24.5,0.02961607839278952,25.0,False,True,False,53
2.2,24.450000000000003,0.029372459081127674,25.0,False,True,False,54
2.2,24.450000000000003,0.03257014923476236,25.0,False,True,False,55
1.8,24.55,0.029686310314236818,25.0,False,True,False,56
1.0,24.650000000000002,0.027002937122243675,25.0,False,True,False,57
1.8,24.55,0.0392487766192605,25.0,False,True,False,58
1.4,24.6,0.03049212100065733,25.0,False,True,False,59
2.8,24.3,0.03419767968195891,25.0,False,True,False,60
1.2,24.650000000000002,0.032995513594782734,25.0,False,True,False,61
1.8,24.55,0.02939597117802467,25.0,False,True,False,62
